polcod,polvar,polval,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,wh_id_tmpl
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_ADJUST,1,INV-ADJ,2009.2,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_ADJUST,1,INV-ADJ,2009.2,1,,,,,,EDI,GBWEL01
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_ATTR_ADJUST,1,INV-ATTR-CHANGE,2011.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_ATTR_ADJUST,1,INV-ATTR-CHANGE,2011.1,1,,,,,,EDI,GBWEL01
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_RECEIPT_IFD,1,INV-RCV,2012.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_RECEIPT_IFD,1,INV-RCV,2012.1,1,,,,,,EDI,GBWEL01
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_STATUS_CHANGE_IFD,1,INV-STS,2009.2,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,INVENTORY_STATUS_CHANGE_IFD,1,INV-STS,2009.2,1,,,,,,EDI,GBWEL01
USR_HUEL_SCJP,EDI_FILENAME,LC_PALLET_ALLOC_TCL_IFD,1,LC-PALLET-ALLOC-TCL,2018.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,LC_PALLET_STORE_TCL_IFD,1,LC-PALLET-STORE-TCL,2018.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,LC_SHIPPER_DETAILS_IFD,1,LC-PACKAGE-DETAILS,2018.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,LC_WO_CLOSE_IFD,1,LC-WO-CLOSE,2019.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,SHIPMENT_STATUS_CHANGE,1,SHIPMENT-STATUS-CHANGE,9.1.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,SHIPMENT_STATUS_CHANGE,1,SHIPMENT-STATUS-CHANGE,9.1.1,1,,,,,,EDI,GBWEL01
USR_HUEL_SCJP,EDI_FILENAME,SHIP_LOAD_OUB_IFD,1,SHIP-LOAD,2017.1,1,,,,,,EDI,GBRPY01
USR_HUEL_SCJP,EDI_FILENAME,SHIP_LOAD_OUB_IFD,1,SHIP-LOAD,2017.1,1,,,,,,EDI,GBWEL01
